;naive;KMP-br;KMP-brs;
100;4062225;3542358;3507804;
200;4103599;3563754;3531658;
300;4058016;3570950;3522929;
400;4058366;3565137;3546008;
500;4050100;3583391;3524162;
600;4073724;3572191;3562067;
700;4047195;3606070;3547500;
800;4059766;3591800;3568358;
900;4102262;3633795;3599866;
1000;4084533;3626308;3588737;
1100;4078545;3603646;3585179;
1200;4043512;3601787;3583191;
1300;4044033;3611933;3627629;
1400;4032495;3611333;3590120;
1500;4016054;3601354;3638574;
1600;4045108;3619325;3604658;
1700;4046987;3618787;3612262;
1800;4042433;3627320;3624012;
1900;4019629;3619295;3614900;
2000;4040108;3635441;3638291;
2100;4031362;3633670;3629591;
2200;4002520;3640933;3684970;
2300;4004579;3638183;3643137;
2400;4010762;3677958;3660920;
2500;4005879;3641166;3667700;
2600;3996387;3647925;3660983;
2700;3989462;3654871;3662966;
2800;3989304;3655408;3672920;
2900;4027858;3664324;3693174;
3000;3986362;3667404;3693124;
